id,dyad,modality,condition,hz,n_samples,wcc_json
2271_7957__angular__exp2,2271_7957,angular,exp2,2.0,22,"[-0.473533, -0.30775, -0.083391, -0.304404, -0.444906, -0.633072, -0.82179, -0.73048, -0.584049, -0.46641, 0.137069, -0.210989, -0.504257, -0.317469, -0.096781, -0.141022, -0.091896, 0.164512, -0.336973, -0.579925, -0.475829, -0.279923]"
2271_7957__angular__exp3,2271_7957,angular,exp3,2.0,22,"[-0.76609, -0.375421, 0.102584, -0.157705, -0.890492, -0.577197, -0.101238, -0.311292, -0.56322, -0.271822, -0.081108, -0.107773, 0.054381, 0.111812, 0.354272, 0.370126, 0.454761, 0.394011, 0.178246, -0.00122, 0.0661, 0.144388]"
2271_7957__radial__exp3,2271_7957,radial,exp3,2.0,22,"[null, null, 0.98817, 0.850842, 0.84264, 0.552647, 0.260103, -0.069382, -0.084069, null, 0.619918, 0.620094, -0.081641, -0.029236, -0.217029, -0.216535, -0.191542, 0.105309, 0.104086, -0.163813, -0.229325, -0.303364]"
2271_7957__angular__exp4,2271_7957,angular,exp4,2.0,22,"[-0.052644, -0.0, -0.0, 0.00607, 0.016955, -0.048238, -0.354654, -0.556399, -0.179783, 0.213788, 0.237373, -0.287529, -0.010303, -0.028535, -0.452085, -0.719912, -0.612456, -0.098163, -0.171389, -0.59701, -0.672768, -0.649811]"
2271_7957__radial__exp4,2271_7957,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.993422, 0.993422, null, null, null, null, null, null, null, null, null, null, null, null]"
2457_2049__angular__exp1,2457_2049,angular,exp1,2.0,22,"[-0.442247, -0.039055, 0.070796, -0.100979, -0.188054, 0.075683, 0.251099, 0.012291, -0.438126, -0.144263, 0.339091, 0.319398, -0.288112, -0.306554, -0.391863, -0.127648, -0.20008, -0.233618, 0.335259, -0.022837, -0.476768, -0.241398]"
2457_2049__radial__exp1,2457_2049,radial,exp1,2.0,22,"[0.378806, 0.261668, -0.105498, -0.093786, 0.48659, 0.271465, -0.27274, -0.26012, -0.122579, -0.143782, -0.222562, -0.233834, -0.197689, 0.550446, 0.78561, 0.625337, -0.232382, -0.103679, -0.150627, -0.144314, -0.174596, 0.006412]"
2457_2049__angular__exp2,2457_2049,angular,exp2,2.0,22,"[-0.905979, -0.689619, -0.522265, -0.610268, -0.595226, -0.714081, -0.83047, -0.53877, -0.011449, 0.272241, 0.364129, -0.34197, -0.65744, -0.47362, -0.237132, -0.445626, -0.774, -0.471156, -0.635443, -0.191695, 0.522663, 0.30151]"
2457_2049__angular__exp3,2457_2049,angular,exp3,2.0,22,"[-0.341835, -0.17313, -0.094935, -0.08735, 0.225445, 0.246674, -0.077776, -0.009878, 0.090127, 0.029157, 0.019741, -0.088941, -0.344494, -0.36262, 0.068255, 0.329191, -0.014144, -0.10239, 0.104537, 0.004805, -0.097918, 0.109713]"
2457_2049__radial__exp3,2457_2049,radial,exp3,2.0,22,"[-0.119022, -0.24347, -0.080483, 0.194153, 0.583383, -0.225342, -0.123184, -0.252996, -0.290247, 0.614338, 0.665441, 0.466464, 0.189995, 0.180651, 0.64141, -0.09649, -0.393735, 0.088989, 0.503831, 0.030886, -0.060445, -0.415943]"
2457_2049__angular__exp4,2457_2049,angular,exp4,2.0,22,"[0.021869, -0.390972, null, null, 0.014089, -0.280549, -0.437616, -0.356313, -0.047395, 0.266777, 0.274985, -0.523051, -0.553631, -0.345782, -0.093954, -0.009244, -0.436205, -0.568327, -0.12356, 0.02808, -0.426918, -0.589261]"
2457_2049__radial__exp4,2457_2049,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.506327, 0.506327, null, null, null, null, null, null, null, 0.751948, 0.751948, null, null, null]"
2533_2635__angular__exp1,2533_2635,angular,exp1,2.0,22,"[0.543578, -0.082185, -0.178822, -0.031691, 0.111447, -0.475967, -0.648706, -0.201022, 0.062169, -0.015355, 0.031198, 0.180595, -0.504996, -0.527082, 0.110524, 0.363202, -0.067456, -0.19597, -0.050359, -0.02617, -0.198177, -0.486737]"
2533_2635__radial__exp1,2533_2635,radial,exp1,2.0,22,"[0.962398, 0.822611, null, null, null, null, null, null, -0.286534, -0.227218, null, -0.145483, -0.145483, null, 1.0, 0.766543, 0.736348, null, null, -0.118703, 0.205413, 0.906135]"
2533_2635__angular__exp2,2533_2635,angular,exp2,2.0,22,"[-0.640108, -0.445481, -0.267506, -0.585481, -0.34829, 0.228348, 0.258206, -0.209758, -0.335016, -0.666806, -0.635352, -0.62597, -0.482396, -0.037799, -0.183864, -0.363664, 0.183584, 0.134077, -0.60963, -0.463167, -0.400627, -0.44409]"
2533_2635__radial__exp2,2533_2635,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, null, null, 0.877894, 0.877894, null, null, null]"
2533_2635__angular__exp3,2533_2635,angular,exp3,2.0,22,"[-0.555892, -0.165321, 0.413817, 0.336635, 0.083906, -0.704777, -0.492739, 0.013727, -0.379244, -0.589429, -0.389066, -0.218289, 0.037126, -0.086507, -0.021144, 0.259655, 0.023646, -0.206737, -0.406885, -0.334693, -0.196395, 0.097218]"
2533_2635__radial__exp3,2533_2635,radial,exp3,2.0,22,"[0.097427, 0.179536, 0.595708, 0.11841, 0.183007, 0.167596, 0.165926, -0.022109, 0.139105, 0.136281, 0.427197, 0.183696, 0.253297, 0.142047, -0.298041, -0.382279, -0.238818, -0.260495, 0.038241, 0.001201, 0.015839, -0.177896]"
2533_2635__angular__exp4,2533_2635,angular,exp4,2.0,22,"[-0.323298, -0.021734, 0.044335, -0.178627, -0.253978, -0.09559, -0.112219, -0.046819, -0.082506, -0.691083, -0.471118, -0.226383, -0.227357, -0.013618, 0.323269, 0.013843, -0.694099, -0.320849, 0.285751, 0.204995, -0.017825, -0.102822]"
2533_2635__radial__exp4,2533_2635,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.992227, 0.992227, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null]"
2766_0912__angular__exp1,2766_0912,angular,exp1,2.0,22,"[-0.042087, -0.256478, 0.142061, 0.307177, 0.029986, -0.379455, -0.185129, -0.407885, -0.515457, -0.559437, -0.260715, -0.213582, -0.314186, -0.197244, -0.371137, -0.377563, 0.262791, 0.423992, 0.0418, 0.073659, 0.137192, 0.016999]"
2766_0912__radial__exp1,2766_0912,radial,exp1,2.0,22,"[-0.073656, -0.136213, -0.000313, 0.272411, 0.504374, 0.774456, 0.334361, 0.185473, 0.213334, 0.609074, 0.390872, 0.205102, -0.022348, 0.289939, 0.43328, 0.04778, -0.268932, -0.060275, -0.094167, -0.08473, 0.423753, 0.066999]"
2766_0912__angular__exp2,2766_0912,angular,exp2,2.0,22,"[-0.531456, -0.574772, -0.649538, -0.842381, -0.692842, -0.434059, -0.243519, -0.306842, 0.018922, 0.207113, 0.169667, 0.177794, 0.053831, -0.17859, -0.547367, -0.557593, -0.680404, -0.450569, -0.036633, 0.034998, 0.153772, 0.036524]"
