condition,dyad,behavioral_sync_s,ibi_corr,eda_corr,peak_amplitude,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,bimodality_coefficient
sync_high_seg_low,38,1.0,0.2169,0.5404,0.9982,90.5,0.0,0.9977,3.997,0.5124
sync_high_seg_low,39,1.0,0.1215,0.6527,0.9997,90.5,0.0,0.9996,3.95,0.4287
sync_high_seg_low,40,1.0,0.0139,0.492,0.9983,90.5,0.0,0.9802,2.569,0.8791
sync_high_seg_low,41,1.0,0.1034,0.732,0.9991,90.5,0.0,0.9987,3.826,0.7065
sync_high_seg_low,42,1.0,0.0657,0.5179,0.9983,90.5,0.0,0.9977,3.775,0.3515
sync_high_seg_low,43,1.0,0.1717,0.6133,0.9978,90.5,0.0,0.9929,2.79,0.9256
sync_high_seg_low,44,1.0,0.1111,0.7041,0.9989,90.5,0.0,0.998,3.995,0.4588
sync_high_seg_low,45,1.0,0.1879,0.667,0.9992,90.5,0.0,0.9933,3.075,0.8721
sync_low_seg_high,0,0.3,0.0887,0.7128,0.4642,,0.0,0.2914,4.024,0.516
sync_low_seg_high,1,0.2,0.2236,0.6578,0.2838,,0.0,0.1213,4.175,0.4656
sync_low_seg_high,2,0.4,0.3313,0.7263,0.6592,16.25,1.33,0.3216,4.08,0.6549
sync_low_seg_high,3,0.1,0.0208,0.5745,0.3638,,0.0,0.0831,4.159,0.6063
sync_low_seg_high,4,0.3,0.1505,0.4677,0.5254,,0.0,0.2787,3.783,0.4372
sync_low_seg_high,5,0.4,0.1313,0.4549,0.5451,,0.0,0.3682,4.069,0.6366
sync_low_seg_high,6,0.2,0.204,0.6993,0.4676,,0.0,0.1473,3.998,0.584
sync_low_seg_high,7,0.9,0.0496,0.6662,1.0,44.0,1.33,0.7734,4.012,0.4769
sync_low_seg_high,8,0.6,0.0291,0.4475,0.8823,20.25,1.33,0.5615,3.882,0.695
sync_low_seg_high,9,0.1,0.1302,0.6317,0.3102,,0.0,0.1128,3.952,0.5598
sync_low_seg_high,10,0.3,0.102,0.4386,0.5839,9.0,0.66,0.2646,3.925,0.5199
sync_low_seg_high,11,0.2,0.1822,0.6154,0.495,,0.0,0.2021,3.994,0.5
sync_low_seg_high,12,0.3,0.3002,0.4349,0.4393,,0.0,0.2945,4.042,0.4353
sync_low_seg_high,13,0.6,0.2061,0.5261,0.7752,32.0,1.33,0.5956,3.567,0.7837
sync_low_seg_high,14,0.6,0.1203,0.4062,0.7485,66.5,0.66,0.5625,4.149,0.6213
sync_low_seg_high,15,0.1,0.2845,0.6418,0.3985,,0.0,0.1136,3.853,0.6833
sync_low_seg_high,16,0.1,0.1229,0.4296,0.3263,,0.0,0.1196,3.992,0.4888
sync_low_seg_high,17,0.2,0.0299,0.4277,0.354,,0.0,0.1774,3.898,0.6668
sync_low_seg_high,18,0.5,0.0264,0.6171,0.8501,33.0,0.66,0.4262,3.889,0.6539
sync_low_seg_high,19,0.2,0.3119,0.4,0.4955,,0.0,0.2753,3.781,0.4735
sync_low_seg_high,20,0.2,0.0418,0.6998,0.5426,2.5,1.33,0.1623,3.99,0.6382
sync_low_seg_high,21,0.3,0.1998,0.6995,0.3694,,0.0,0.2315,3.947,0.512
sync_low_seg_high,22,0.4,0.0328,0.7368,0.6821,29.5,1.33,0.3597,3.938,0.5462
sync_low_seg_high,23,0.1,0.0948,0.6857,0.2973,,0.0,0.0394,3.969,0.6969
sync_low_seg_high,24,0.5,0.2522,0.4402,0.8165,13.5,0.66,0.4259,3.619,0.5138
sync_low_seg_high,25,0.3,0.0725,0.5596,0.6033,10.5,0.66,0.3118,4.022,0.489
sync_low_seg_high,26,0.2,0.027,0.5969,0.4271,,0.0,0.1352,4.044,0.3898
sync_low_seg_high,27,0.2,0.0052,0.5502,0.4529,,0.0,0.1289,3.872,0.5859
sync_low_seg_high,28,0.1,0.0805,0.5863,0.3574,,0.0,0.1584,4.106,0.5273
