cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
A_preset_nostim,5010,0.6843796504956424,53.0,1.1070110701107012,0.5134155161928577,4.0,10.0,5.0,3.8914827783161763,0.528213296721033,0.6088560885608856,1.5132376783153307,17.0,4.0,10.0,5.0,1.0,1.0,1.0
A_preset_nostim,5011,0.7161152887173549,36.0,1.5498154981549817,0.5130778574888365,109.0,33.0,12.0,4.0576460924771816,0.37516848045078827,0.5682656826568265,1.3486595521819662,34.0,109.0,33.0,12.0,1.0,1.0,1.0
A_preset_nostim,5012,0.7072296304157217,44.25,1.3284132841328413,0.531269718806201,38.0,,11.0,4.174743185661189,0.480628140051773,0.6236162361623616,2.0618267405966813,38.0,38.0,30.0,11.0,1.0,0.0,1.0
A_preset_nostim,5013,0.7450036923982757,38.333333333333336,1.1070110701107012,0.455708755380094,69.0,71.0,16.0,4.167982533170618,0.5315552435083946,0.4280442804428044,1.758637593609067,67.0,69.0,71.0,16.0,1.0,1.0,1.0
A_preset_nostim,5014,0.6797468661523661,21.2,2.2140221402214024,0.45832519524619536,5.0,207.0,6.0,3.7905198655698054,0.5057269594231879,0.41697416974169743,1.961498263828431,60.0,5.0,207.0,6.0,1.0,1.0,1.0
A_preset_nostim,5015,0.7230209539539664,12.666666666666666,2.4354243542435423,0.4391409776438424,1.0,8.0,4.0,3.6734547293736113,0.41989030311330994,0.3505535055350554,1.1724562847339717,15.0,1.0,8.0,4.0,1.0,1.0,1.0
A_preset_nostim,5016,0.6257498591205612,31.5,0.6642066420664207,0.37002841560108446,21.0,21.0,12.0,4.1469878906346915,0.517558130458933,0.25092250922509224,0.5639235187433556,210.0,21.0,21.0,12.0,1.0,1.0,1.0
A_preset_nostim,5017,0.6782642611543341,27.666666666666668,1.1070110701107012,0.4457595189441936,54.0,4.0,9.0,4.020493684294054,0.5887466351271265,0.31365313653136534,1.857348345796816,60.0,54.0,4.0,9.0,1.0,1.0,1.0
A_preset_nostim,5018,0.7519777545511918,21.25,1.5498154981549817,0.4455372686464404,47.0,138.0,8.0,4.0732001917785725,0.45047599800986315,0.36531365313653136,1.709861156141702,48.0,47.0,138.0,8.0,1.0,1.0,1.0
A_preset_nostim,5019,0.7628840290561214,30.2,1.992619926199262,0.5069323107410332,17.0,50.0,11.0,4.139275507974698,0.4675382764640678,0.5276752767527675,1.5031714169821975,25.0,17.0,50.0,11.0,1.0,1.0,1.0
A_preset_nostim,5020,0.6597764173909922,23.25,1.7712177121771218,0.43284943007554527,23.0,70.0,2.0,3.8784604905662636,0.47627222602118263,0.3062730627306273,1.7969582254577985,23.0,23.0,70.0,2.0,1.0,1.0,1.0
A_preset_nostim,5021,0.6938230844169344,19.25,1.5498154981549817,0.41450351019555237,30.0,3.0,7.0,4.027318506747578,0.46329626863954637,0.2767527675276753,1.0241654595894765,76.0,30.0,3.0,7.0,1.0,1.0,1.0
A_preset_nostim,5022,0.745908379138948,50.333333333333336,1.3284132841328413,0.5355865146495008,16.0,5.0,13.0,4.09884044206966,0.5108252705615066,0.5719557195571956,1.7251555339045859,50.0,16.0,5.0,13.0,1.0,1.0,1.0
A_preset_nostim,5023,0.7507592229435827,40.25,1.7712177121771218,0.5257756723911012,24.0,80.0,22.0,4.227373469180497,0.49822695225753133,0.5498154981549815,1.3944847670039668,25.0,24.0,80.0,22.0,1.0,1.0,1.0
A_preset_nostim,5024,0.6679930614820269,37.333333333333336,1.3284132841328413,0.4598474831733526,22.0,6.0,9.0,4.096227833787186,0.48007980101099035,0.3800738007380074,1.7586484243786105,22.0,22.0,6.0,9.0,1.0,1.0,1.0
A_preset_nostim,5025,0.667360549237879,46.75,1.5498154981549817,0.5191478510579377,6.0,83.0,3.0,3.991386472404316,0.561384271973927,0.6789667896678967,1.4776069760359378,29.0,6.0,83.0,3.0,1.0,1.0,1.0
A_preset_nostim,5026,0.6957773120030972,23.8,1.992619926199262,0.48983137141482846,33.0,7.0,2.0,3.7986769471010713,0.3671852517582657,0.44649446494464945,1.620874923785626,34.0,33.0,7.0,2.0,1.0,1.0,1.0
A_preset_nostim,5027,0.779896352902172,31.25,1.7712177121771218,0.48034101077850816,74.0,89.0,7.0,3.9952725660948434,0.42130092743136827,0.4612546125461255,1.361463542230634,75.0,74.0,89.0,7.0,1.0,1.0,1.0
A_preset_nostim,5028,0.7173560937828651,39.25,1.5498154981549817,0.5115452813311453,4.0,143.0,12.0,4.028268823236281,0.45924312282104424,0.6014760147601476,1.87863624866095,19.0,4.0,143.0,12.0,1.0,1.0,1.0
A_preset_nostim,5029,0.6790028188293351,26.0,1.1070110701107012,0.4490570365417334,73.0,10.0,5.0,4.02923672102641,0.5711420312983643,0.3173431734317343,2.0149663756481253,74.0,73.0,10.0,5.0,1.0,1.0,1.0
B_emergent_nostim,5000,0.862076275859567,20.0,1.992619926199262,0.3438103210879978,34.0,,8.0,4.071712300077088,0.5372504952154316,0.36900369003690037,1.5876030859578192,43.0,34.0,30.0,8.0,1.0,0.0,1.0
B_emergent_nostim,5001,0.8476630722827101,19.6,1.992619926199262,0.33549823771151716,23.0,6.0,10.0,4.086856528874699,0.5399623322829704,0.36531365313653136,1.4954613565328294,35.0,23.0,6.0,10.0,1.0,1.0,1.0
B_emergent_nostim,5002,0.8562144809370454,25.2,1.992619926199262,0.40002013800144304,30.0,,14.0,3.9909050493260807,0.6021252222679421,0.45387453874538747,1.3239833847884661,47.0,30.0,30.0,14.0,1.0,0.0,1.0
B_emergent_nostim,5003,0.866128032390087,25.75,1.5498154981549817,0.3716303003045631,36.0,,13.0,4.061673989603231,0.5255605537566183,0.3726937269372694,1.3827826698682306,45.0,36.0,30.0,13.0,1.0,0.0,1.0
B_emergent_nostim,5004,0.858638815116383,24.25,1.7712177121771218,0.34137155418988413,22.0,6.0,11.0,4.03791212924243,0.5455642200590591,0.36531365313653136,1.5116330910892777,36.0,22.0,6.0,11.0,1.0,1.0,1.0
B_emergent_nostim,5005,0.8530633485382921,23.0,1.7712177121771218,0.32590948634616124,20.0,5.0,9.0,4.1001259933387,0.5114651246099271,0.34686346863468637,1.4094822321412546,32.0,20.0,5.0,9.0,1.0,1.0,1.0
B_emergent_nostim,5006,0.8642579428700652,26.0,1.5498154981549817,0.3666345816091531,4.0,9.0,,4.069308104212946,0.5558653613808253,0.3948339483394834,2.05334470798157,19.0,4.0,9.0,30.0,1.0,1.0,0.0
B_emergent_nostim,5007,0.8638890051594287,19.4,1.992619926199262,0.32882773481316335,28.0,36.0,10.0,4.092986078738436,0.53718974434494,0.3726937269372694,1.1890046445993685,41.0,28.0,36.0,10.0,1.0,1.0,1.0
B_emergent_nostim,5008,0.8620743921128068,25.75,1.5498154981549817,0.36130399773100697,33.0,,7.0,4.06268088065638,0.5659556202830089,0.3800738007380074,1.8738761072327645,47.0,33.0,30.0,7.0,1.0,0.0,1.0
B_emergent_nostim,5009,0.8656034269782892,19.2,1.992619926199262,0.33341696902892787,20.0,5.0,12.0,4.108044381795494,0.5249841941739214,0.35424354243542433,1.438741734565052,33.0,20.0,5.0,12.0,1.0,1.0,1.0
B_emergent_nostim,5010,0.8716632252568363,19.6,1.992619926199262,0.3549323155055702,16.0,6.0,13.0,4.086485682969506,0.542613131180745,0.36531365313653136,1.513010778207978,26.0,16.0,6.0,13.0,1.0,1.0,1.0
B_emergent_nostim,5011,0.867148974255193,19.2,1.992619926199262,0.34238397885156663,26.0,34.0,9.0,4.054225464447178,0.5445192246674642,0.36162361623616235,1.5307455596555064,35.0,26.0,34.0,9.0,1.0,1.0,1.0
B_emergent_nostim,5012,0.8629779864337535,29.75,1.3284132841328413,0.3870188223735709,47.0,7.0,11.0,4.134373648129578,0.590146877538122,0.4354243542435424,1.7390058172075402,13.0,47.0,7.0,11.0,1.0,1.0,1.0
B_emergent_nostim,5013,0.8542547190629811,21.75,1.5498154981549817,0.3091176256543574,11.0,6.0,8.0,4.169350994521833,0.5218560884603678,0.31365313653136534,1.9055069006463514,21.0,11.0,6.0,8.0,1.0,1.0,1.0
B_emergent_nostim,5014,0.8733598566079059,19.8,1.992619926199262,0.34239155944482674,23.0,5.0,8.0,4.001005500869054,0.527824997365818,0.36531365313653136,1.6670389685565898,36.0,23.0,5.0,8.0,1.0,1.0,1.0
