onset_delay,rise_duration,decay_duration,plateau_duration,seed,noise_sigma,onset_threshold,c_baseline,c_peak,expected_onset_latency,expected_rise_time,expected_recovery_time,expected_dwell_approx,n_wcc_samples,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined,_params
10.0,5.0,10.0,60.0,3020,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9867670801249824,7.733333333333333,5.878378378378378,0.2528176586899078,2.0,,5.0,4.080140721543949,0.6009637627167785,0.40540540540540543,1.0396331516493864,2.0,2.0,30.0,5.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3021,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.993953248240578,7.071428571428571,5.27027027027027,0.12908562279557118,6.0,11.0,7.0,4.1928873699227776,0.5783315217730857,0.32094594594594594,1.4412800186248853,6.0,6.0,11.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3022,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.969265131485151,4.074074074074074,10.743243243243242,0.22694572492726042,5.0,17.0,3.0,4.122898473743574,0.564244033399923,0.3783783783783784,0.7878364663920092,5.0,5.0,17.0,3.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3023,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9932122657877095,5.842105263157895,7.702702702702703,0.2157403000656501,5.0,1.0,6.0,4.14076442071032,0.5570943730819309,0.38175675675675674,0.6995184817969928,9.0,5.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3024,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9857150707825432,4.909090909090909,8.716216216216216,0.1943675362577772,12.0,13.0,5.0,4.187370180706926,0.5434984932457388,0.3581081081081081,0.9337259735534764,10.0,12.0,13.0,5.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3025,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9958876495171523,6.642857142857143,5.675675675675675,0.05646948807821512,11.0,1.0,9.0,4.220068381746271,0.5998257917908312,0.3108108108108108,0.9334026640916198,12.0,11.0,1.0,9.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3026,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9791120361516824,6.277777777777778,7.297297297297297,0.22449362803561068,11.0,6.0,4.0,4.157906698305019,0.560538550776741,0.3783783783783784,1.2159652250666664,6.0,11.0,6.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3027,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9970913710867518,5.318181818181818,8.91891891891892,0.24335436206248806,11.0,,8.0,4.108359201759266,0.5775557566018851,0.40202702702702703,0.8899849272497301,11.0,11.0,30.0,8.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3028,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9869369149247439,6.3,8.108108108108107,0.23657584517514607,10.0,9.0,18.0,4.097679016177283,0.6244269434650409,0.4222972972972973,0.79560577130699,3.0,10.0,9.0,18.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3029,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9879295065053826,7.647058823529412,6.689189189189189,0.23188370313766574,11.0,5.0,4.0,4.1332316013042645,0.6124444560716229,0.43243243243243246,1.4320579616098783,11.0,11.0,5.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3000,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9992255894052939,5.7894736842105265,7.5,0.1972623047334495,12.0,13.0,13.0,4.1901342283757295,0.584692693351474,0.36486486486486486,1.149002736283682,13.0,12.0,13.0,13.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3001,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9958313308155942,5.181818181818182,8.513513513513512,0.21367930054500991,13.0,13.0,4.0,4.168652440750533,0.6041186099982105,0.38513513513513514,0.819695471566233,2.0,13.0,13.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3002,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9795280008491677,4.95,8.108108108108107,0.1974306897280121,12.0,3.0,6.0,4.139836891431245,0.5162531871700077,0.35135135135135137,1.0723973477939968,13.0,12.0,3.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3003,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.975805691939899,4.190476190476191,8.31081081081081,0.18733073910668627,9.0,1.0,4.0,4.145768143655684,0.49604912822891806,0.3108108108108108,0.9064483441336199,10.0,9.0,1.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3004,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9854292101045269,5.842105263157895,7.702702702702703,0.18777796769388982,13.0,7.0,6.0,4.202922633087051,0.6116177151293627,0.38513513513513514,1.0639160721105634,18.0,13.0,7.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3005,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9843768662441217,6.111111111111111,7.297297297297297,0.270692274017851,12.0,9.0,16.0,4.042782611085589,0.5259754345042279,0.3783783783783784,1.0289791891046112,3.0,12.0,9.0,16.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3006,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9807961067743879,8.0,5.472972972972973,0.17778397390984813,10.0,10.0,7.0,4.128556824491174,0.6213900412613795,0.3783783783783784,1.1057324753743565,12.0,10.0,10.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3007,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9851318623022719,6.142857142857143,8.513513513513512,0.32320732944093916,1.0,13.0,3.0,4.141519717940864,0.5764716806293387,0.44594594594594594,0.7546340655402385,3.0,1.0,13.0,3.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3008,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.989906720205737,6.0,6.486486486486486,0.19074335871253348,13.0,1.0,5.0,4.19841255279192,0.5595263907840163,0.3310810810810811,1.168998613624723,5.0,13.0,1.0,5.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3009,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9895341543789593,5.809523809523809,8.108108108108107,0.2541029888159446,11.0,3.0,4.0,4.141742606530286,0.5618224395457441,0.41216216216216217,1.0840741859897287,15.0,11.0,3.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3010,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9722323099291579,7.8,6.081081081081081,0.21042149962222093,5.0,11.0,7.0,4.126521150667561,0.5881961475366647,0.38513513513513514,1.2454957351275382,1.0,5.0,11.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3011,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9794228663868239,6.055555555555555,7.297297297297297,0.2377897285182661,14.0,2.0,6.0,4.145034531530749,0.5450403452044401,0.3783783783783784,0.9798435120275073,5.0,14.0,2.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3012,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9949900012410315,4.954545454545454,8.91891891891892,0.22833151376344693,1.0,1.0,17.0,4.159070069437444,0.5466694867000194,0.3614864864864865,0.8737235587660762,3.0,1.0,1.0,17.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3013,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9871705956581502,6.111111111111111,7.297297297297297,0.1914065111166299,3.0,8.0,4.0,4.142044780005282,0.6075641011663362,0.3783783783783784,0.9963858670416849,4.0,3.0,8.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3014,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9920920279519065,6.166666666666667,7.094594594594594,0.23295335960496769,7.0,,4.0,4.127875276349132,0.5449664122888999,0.3783783783783784,1.2070403562826895,8.0,7.0,30.0,4.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3015,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9840607515323512,6.2105263157894735,7.5,0.24871127069187332,10.0,1.0,5.0,4.114904144425346,0.5725975189570791,0.41216216216216217,0.9302313183615197,12.0,10.0,1.0,5.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3016,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9816707019203894,6.411764705882353,6.891891891891891,0.21164360717864672,10.0,3.0,6.0,4.183366705686799,0.5527303268138235,0.36824324324324326,0.9327943610522107,10.0,10.0,3.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3017,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9888884552661475,6.666666666666667,5.878378378378378,0.1602001684359718,9.0,,4.0,4.163310673459804,0.5690238526504574,0.34459459459459457,1.0356460742465623,11.0,9.0,30.0,4.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3018,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9904519521038526,7.375,6.486486486486486,0.27976468246248376,11.0,1.0,6.0,4.105524443969674,0.5571857691112437,0.3952702702702703,1.2280254397342876,14.0,11.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3019,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9825804008987757,6.0,7.702702702702703,0.20769127416221939,9.0,1.0,6.0,4.166679569168052,0.5970874363300168,0.3885135135135135,1.1441692207435141,10.0,9.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3020,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9867670801249824,8.857142857142858,5.472972972972973,0.2657370230701465,2.0,,7.0,4.050330085329408,0.6171703757734697,0.42905405405405406,1.053917691180095,2.0,2.0,30.0,7.0,1,0,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3021,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9939532482405774,7.071428571428571,5.27027027027027,0.14757055316312925,6.0,11.0,7.0,4.188550107969007,0.5664141062225627,0.32432432432432434,1.431888305444308,6.0,6.0,11.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3022,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9692651314851514,4.214285714285714,11.148648648648647,0.27096344082355905,5.0,17.0,3.0,4.099696193962519,0.5631242382455993,0.41216216216216217,0.6744020721771986,5.0,5.0,17.0,3.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3023,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9932122657877078,6.0,7.702702702702703,0.24247906656775722,5.0,1.0,6.0,4.1017395579146125,0.5587260111146537,0.3952702702702703,0.6978704051447195,9.0,5.0,1.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,30.0,60.0,3024,0.3,0.5,0.15,0.85,10.0,5.0,30.0,95.0,296,0.9831302630181173,4.739130434782608,9.121621621621621,0.2171543510328356,12.0,13.0,6.0,4.169087788236081,0.5359490688010649,0.36486486486486486,0.8287473992075535,10.0,12.0,13.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
