noise_ratio,coupling,seed,onset_threshold,n_surrogates,surrogate_method,obs_mean_synchrony,p_mean_synchrony,null_mean_mean_synchrony,null_sd_mean_synchrony,obs_peak_amplitude,p_peak_amplitude,null_mean_peak_amplitude,null_sd_peak_amplitude,obs_dwell_time,p_dwell_time,null_mean_dwell_time,null_sd_dwell_time,obs_switching_rate,p_switching_rate,null_mean_switching_rate,null_sd_switching_rate,obs_bimodality_coefficient,p_bimodality_coefficient,null_mean_bimodality_coefficient,null_sd_bimodality_coefficient,p_onset_defined,p_recovery_defined,obs_onset_defined,obs_recovery_defined
0.05,0.0,1028,0.5,99,prtf,0.08358823421214018,0.16,0.006925809120677444,0.06574067637076579,0.3869310651280978,0.46,0.37972544003797204,0.09770241120455724,,,,,0.0,1.0,0.0,0.0,0.5999450676337587,0.03,0.45226589435225567,0.06674736678146449,1.0,1.0,1.0,1.0
0.05,0.0,1029,0.5,99,prtf,0.056014969759143315,0.19,0.011655638680705821,0.05491447388475908,0.4426265297216442,0.2,0.38102659414218,0.0814055844260729,,,,,0.0,1.0,0.0,0.0,0.41285414411281335,0.61,0.438500492755483,0.07401051954068123,1.0,1.0,1.0,1.0
0.05,0.3,1000,0.5,99,prtf,0.03385959713584481,0.36,0.004707356887398602,0.06707656211689061,0.4934793935966659,0.22,0.3994911980247257,0.10295363213142886,1.0,1.0,1.404040404040404,0.5134753917596171,0.44280442804428044,1.0,0.44056804204405703,0.02225175974743642,0.3974175726528219,0.67,0.4331397620763367,0.06326931757133347,1.0,1.0,1.0,1.0
0.05,0.3,1001,0.5,99,prtf,0.16588319750200975,0.01,-0.00214027637946636,0.06202171186504565,0.5102409328115443,0.11,0.37337328998260183,0.09755144839789433,,,,,0.0,1.0,0.0,0.0,0.5315082070765538,0.13,0.44668726445380463,0.06834083584141791,1.0,1.0,1.0,1.0
0.05,0.3,1002,0.5,99,prtf,0.10375100707757197,0.08,0.004609263737318277,0.05820973679732008,0.5700191065130555,0.09,0.3972106983408012,0.1038109672340624,11.0,0.2,5.819865319865321,2.8283696785189725,0.44280442804428044,0.92,0.7603712400760373,0.3481500391495638,0.5092737561982594,0.18,0.45244400099438115,0.05967781550673761,1.0,1.0,1.0,1.0
0.05,0.3,1003,0.5,99,prtf,0.0337374369393832,0.36,0.0032542050486905508,0.06841564060548502,0.33251994021572384,0.75,0.4023628148472861,0.08996530526913823,,,,,0.0,1.0,0.0,0.0,0.5914859374487861,0.02,0.4233432743633199,0.06667193320496646,1.0,1.0,1.0,1.0
0.05,0.3,1004,0.5,99,prtf,0.05772868381598507,0.19,-4.400530797460725e-05,0.06204208353817238,0.5114519095807988,0.13,0.3949388882707238,0.09750433598071163,,,,,0.0,1.0,0.0,0.0,0.5230181193111761,0.18,0.45620071624108416,0.07749943224345636,1.0,1.0,1.0,1.0
0.05,0.3,1005,0.5,99,prtf,0.1157091500031181,0.04,0.004379875690713624,0.05886471273643139,0.4126910691766774,0.31,0.37968034850616117,0.10074335250911898,,,,,0.0,1.0,0.0,0.0,0.4552335877705044,0.4,0.44318153876144717,0.0628229754718588,1.0,1.0,1.0,1.0
0.05,0.3,1006,0.5,99,prtf,0.09735496469731679,0.11,0.0015234982682498254,0.07473283745070068,0.6904272445096598,0.01,0.3822246010611034,0.10341438041008287,13.0,0.44,7.863636363636363,3.6934407168660943,0.44280442804428044,0.6,0.8990271720899028,0.3819352643079388,0.5706531705011538,0.03,0.4479694874712875,0.06198035840008996,1.0,1.0,1.0,1.0
0.05,0.3,1007,0.5,99,prtf,0.1703472776651717,0.02,0.005064898517387002,0.06615811840646087,0.5844049773538785,0.07,0.4130649467807482,0.10120726198249111,12.0,0.5,8.691919191919192,3.8363167653974015,0.44280442804428044,1.0,0.6418427820641843,0.2674370674142023,0.32803699652871204,0.93,0.44779790496471356,0.07574468272444775,1.0,1.0,1.0,1.0
0.05,0.3,1008,0.5,99,prtf,0.14690448891902896,0.02,-0.010021964459994828,0.06241232297403478,0.5424423469801014,0.09,0.3836708979463974,0.09360435591294572,10.0,0.46153846153846156,6.677777777777778,3.1855635656758285,0.44280442804428044,1.0,0.4204405680420442,0.15970223626465568,0.5745931412601544,0.04,0.4466019558030959,0.06446803720754289,1.0,1.0,1.0,1.0
0.05,0.3,1009,0.5,99,prtf,0.15278887435857857,0.01,0.01077647543869063,0.05838727014348241,0.6045571233139555,0.03,0.39136232439211793,0.09661141299444093,29.0,0.02,11.871043771043771,5.741977340142378,0.44280442804428044,0.52,0.9281001900928102,0.38953227921193523,0.4082505665252895,0.79,0.44898224611926235,0.06562571637848104,1.0,1.0,1.0,1.0
0.05,0.3,1010,0.5,99,prtf,0.10155438882293777,0.07,0.005299630797480057,0.06587826466010581,0.4657971625368794,0.25,0.38773901005206757,0.10100772457875531,,,,,0.0,1.0,0.0,0.0,0.5078488580016068,0.18,0.4381710467093254,0.07084846344808964,1.0,1.0,1.0,1.0
0.05,0.3,1011,0.5,99,prtf,0.14627687513882667,0.01,-0.0008471316971425208,0.05451474285275011,0.6873789346377452,0.01,0.38576203127967085,0.09537406346451972,11.0,0.56,17.175084175084177,7.168184214324014,0.44280442804428044,1.0,0.6373700100637372,0.2868876588983425,0.4873575232909983,0.23,0.4411200425653418,0.06495698023418664,1.0,1.0,1.0,1.0
0.05,0.3,1012,0.5,99,prtf,0.15839062490140907,0.01,-0.011348550316141705,0.05833098503449313,0.4075075006048647,0.45,0.39659433099334307,0.10041035012339429,,,,,0.0,1.0,0.0,0.0,0.4518571429091606,0.41,0.4362980225813829,0.06979874565848457,1.0,1.0,1.0,1.0
0.05,0.3,1013,0.5,99,prtf,0.11089112086462974,0.08,0.0006426254636855225,0.07332765623478223,0.4749536280343216,0.18,0.39609983029368195,0.09204699714753188,,,,,0.0,1.0,0.0,0.0,0.5665116287300023,0.04,0.4422880016279369,0.06588231838722926,1.0,1.0,1.0,1.0
0.05,0.3,1014,0.5,99,prtf,0.0752265900013076,0.19,0.0030848093902250853,0.06698579894030939,0.5156383161617002,0.11,0.3743543111847895,0.09884101319530993,,,,,0.0,1.0,0.0,0.0,0.3781259945540218,0.88,0.44656851503739947,0.059993170824239134,1.0,1.0,1.0,1.0
0.05,0.3,1015,0.5,99,prtf,0.10485454247901854,0.04,-0.0017752447989972005,0.05684279622665129,0.4347352904335129,0.29,0.3740199615428661,0.09088149508171353,,,,,0.0,1.0,0.0,0.0,0.43655984273273,0.45,0.4313962985437679,0.06713919932463433,1.0,1.0,1.0,1.0
0.05,0.3,1016,0.5,99,prtf,0.10072199825797111,0.12,0.010371400436485241,0.06484390072533831,0.40609982029288855,0.47,0.3907758145312699,0.10454483929405255,,,,,0.0,1.0,0.0,0.0,0.37814775607493223,0.78,0.4329886825222277,0.06370650554169531,1.0,1.0,1.0,1.0
0.05,0.3,1017,0.5,99,prtf,0.15630204172025472,0.01,0.004737686535092547,0.06086260524914732,0.5445563944786425,0.03,0.38416114040372157,0.08333662010038347,12.0,0.4444444444444444,7.979591836734694,3.7104744238765415,0.44280442804428044,1.0,0.4785866040478589,0.15071777552194976,0.5205082306848472,0.17,0.4457487436327043,0.06941569708464856,1.0,1.0,1.0,1.0
0.05,0.3,1018,0.5,99,prtf,0.035136875438009516,0.31,0.005899666620526284,0.06079037669555413,0.3538771858605946,0.61,0.38259166355270513,0.08788132758312961,,,,,0.0,1.0,0.0,0.0,0.41645984232182637,0.7,0.44106046903601437,0.06268276063558108,1.0,1.0,1.0,1.0
0.05,0.3,1019,0.5,99,prtf,0.09861581568491491,0.08,0.006831453255248319,0.061220253148449096,0.5325122956661485,0.07,0.393535914191032,0.08820690306379642,,,3.3333333333333335,1.5275252316519465,0.0,1.0,0.01341831600134183,0.07629174770549632,0.47075783319412456,0.35,0.4549154382764452,0.06072462755444917,1.0,1.0,1.0,1.0
0.05,0.3,1020,0.5,99,prtf,0.08857963181162315,0.07,-0.006101553804756245,0.05369958416690132,0.4968980518986757,0.09,0.37889149296818214,0.0938752682806904,,,,,0.0,1.0,0.0,0.0,0.44104199827241697,0.55,0.449445660172419,0.0690334553084324,1.0,1.0,1.0,1.0
0.05,0.3,1021,0.5,99,prtf,-0.02326929968239318,0.65,0.006099073479439292,0.060956641292483425,0.3734116737103645,0.64,0.40478162426819797,0.09210803746530474,,,,,0.0,1.0,0.0,0.0,0.5347979295322938,0.08,0.44370601061241227,0.0647284107596881,1.0,1.0,1.0,1.0
0.05,0.3,1022,0.5,99,prtf,0.09605678670283285,0.06,-0.0031178829195773715,0.056853605582242686,0.47858630109867867,0.16,0.3921967829739516,0.09172985113617095,,,,,0.0,1.0,0.0,0.0,0.5333302256080725,0.08,0.4368352853986941,0.06287659510837977,1.0,1.0,1.0,1.0
0.05,0.3,1023,0.5,99,prtf,0.038684095487052254,0.26,-0.0016587835751222142,0.0625258793005845,0.4933730603297741,0.15,0.3813587605311764,0.09707050266288103,,,,,0.0,1.0,0.0,0.0,0.46385466479000587,0.36,0.446509572598565,0.06446055657293112,1.0,1.0,1.0,1.0
