id,dyad,modality,condition,hz,n_wcc_points,obs_dwell_time,obs_switching_rate,p_dwell_time,p_switching_rate,n_surrogates,null_model
pce29__ECG__rest1,pce29,ECG,rest1,1.0,151,6.0,0.794701986754967,0.944,1.0,499,iaaft
pce29__ECG__trials_concat,pce29,ECG,trials_concat,1.0,1051,9.4,0.570884871550904,0.728,0.948,499,iaaft
pce29__EDA__rest1,pce29,EDA,rest1,1.0,151,4.0,0.794701986754967,0.332,1.0,499,iaaft
pce29__EDA__trials_concat,pce29,EDA,trials_concat,1.0,1051,26.4,1.141769743101808,0.056,0.068,499,iaaft
pce29__RESP__rest1,pce29,RESP,rest1,1.0,151,22.0,0.794701986754967,0.024,1.0,499,iaaft
pce29__RESP__trials_concat,pce29,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce30__ECG__rest1,pce30,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce30__ECG__trials_concat,pce30,ECG,trials_concat,1.0,1051,11.0,0.11417697431018078,0.452,0.4,499,iaaft
pce30__EDA__rest1,pce30,EDA,rest1,1.0,151,6.0,0.794701986754967,0.576,0.804,499,iaaft
pce30__EDA__trials_concat,pce30,EDA,trials_concat,1.0,1051,2.0,0.11417697431018078,0.76,1.0,499,iaaft
pce30__RESP__rest1,pce30,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce30__RESP__trials_concat,pce30,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce32__EDA__rest1,pce32,EDA,rest1,1.0,151,13.333333333333334,2.384105960264901,0.64,0.984,499,iaaft
pce32__EDA__trials_concat,pce32,EDA,trials_concat,1.0,1051,17.3,1.141769743101808,0.604,0.724,499,iaaft
pce32__RESP__rest1,pce32,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce32__RESP__trials_concat,pce32,RESP,trials_concat,1.0,1051,11.333333333333334,0.6850618458610848,0.32,0.312,499,iaaft
