mean,std,max,min,range,median,iqr,skewness,kurtosis,frac_above_0.5,frac_above_0,frac_below_0,n_peaks,inter_peak_cv,n_transitions,switching_rate,autocorr_lag1,mean_dwell,max_dwell,bimodality_coeff,dataset,trace_id,modality,condition
-0.103943,0.19857432372815786,0.300671,-0.44167,0.742341,-0.09908900000000001,0.247678,0.29655710149525905,-0.5186613798614705,0.0,0.22727272727272727,0.7727272727272727,3,0.23076923076919525,0,0.0,0.45624488797051815,0.0,0.0,0.36718743929237485,gordon,9475_2181__angular__exp2,angular,exp2
-0.1305441818181818,0.33323258901620284,0.462726,-0.695749,1.158475,-0.128226,0.423531,0.17288897936174355,-0.9077206771757185,0.0,0.36363636363636365,0.6363636363636364,4,0.36004114991148783,0,0.0,0.5697246656361433,0.0,0.0,0.4001349301597863,gordon,9475_2181__angular__exp3,angular,exp3
0.066433,0.3304651328342263,0.65931,-0.365102,1.0244119999999999,-0.136554,0.56495025,0.5023493207115942,-1.3053595944522174,0.18181818181818182,0.45454545454545453,0.5454545454545454,3,0.4285714285713673,5,0.23809523809523808,0.7559233005592074,1.3333333333333333,2.0,0.5754727060676144,gordon,9475_2181__radial__exp3,radial,exp3
-0.09709295454545454,0.16137122595564057,0.331178,-0.335462,0.6666399999999999,-0.0842015,0.19245425,0.6419475836068845,0.4369450220394069,0.0,0.22727272727272727,0.7727272727272727,5,0.1767766952965927,0,0.0,0.2702144682583417,0.0,0.0,0.3603644410811441,gordon,9475_2181__angular__exp4,angular,exp4
-0.19083522727272725,0.2741218347858748,0.311904,-0.686501,0.998405,-0.13591,0.4829205,-0.22846476238194385,-0.9614097707272631,0.0,0.3181818181818182,0.6818181818181818,4,0.16329931618551255,0,0.0,0.41852417048836876,0.0,0.0,0.4175101248768501,gordon,9509_3886__angular__exp1,angular,exp1
-0.006083100000000004,0.32580284459533265,0.804707,-0.273762,1.078469,-0.14527299999999999,0.20065125,1.673166662251526,1.5102819677204602,0.1,0.3,0.7,2,0.0,2,0.10526315789473684,0.6155761173928915,2.0,2.0,0.752448449335134,gordon,9509_3886__radial__exp1,radial,exp1
-0.08800613636363636,0.1822351876565517,0.303496,-0.532727,0.8362229999999999,-0.083996,0.22256375,-0.13750211666930912,0.3634152975091065,0.0,0.2727272727272727,0.7272727272727273,4,0.16329931618551255,0,0.0,0.5720566541413783,0.0,0.0,0.2649956715659519,gordon,9509_3886__angular__exp2,angular,exp2
-0.021038181818181807,0.24506121204665354,0.372573,-0.529516,0.9020889999999999,0.0389055,0.3817525,-0.3528287427433046,-0.801902050580475,0.0,0.5454545454545454,0.45454545454545453,3,0.09090909090907438,0,0.0,0.5439937539627607,0.0,0.0,0.4196357116985685,gordon,9509_3886__angular__exp3,angular,exp3
0.04387659090909093,0.3032144710360668,0.735043,-0.471699,1.206742,0.011361,0.41159124999999996,0.39944786501693463,-0.375915232535736,0.09090909090909091,0.5454545454545454,0.45454545454545453,5,0.3464101615136831,4,0.19047619047619047,0.27664916687913754,1.0,1.0,0.3733690133057621,gordon,9509_3886__radial__exp3,radial,exp3
0.016655590909090908,0.20482185570756686,0.466029,-0.484799,0.950828,-0.0016195000000000011,0.26553175,-0.05885881167162646,0.47877585202666273,0.0,0.5,0.5,4,0.21757131728811827,0,0.0,0.198433095635756,0.0,0.0,0.2533773892845833,gordon,9509_3886__angular__exp4,angular,exp4
-0.23000745454545457,0.36216727076031324,0.69544,-0.734325,1.429765,-0.3344205,0.38096025,1.238778600017532,1.3406881959146926,0.09090909090909091,0.13636363636363635,0.8636363636363636,2,0.0,1,0.047619047619047616,0.707604175750326,2.0,2.0,0.5255976793802841,gordon,9807_4100__angular__exp1,angular,exp1
0.026485882352941182,0.2625135922680677,0.817679,-0.253655,1.071334,0.0,0.10398,1.6898257186584549,2.993019681917219,0.058823529411764705,0.6470588235294118,0.35294117647058826,3,0.07692307692306509,2,0.125,0.48649891292555825,1.0,1.0,0.5797619136064749,gordon,9807_4100__radial__exp1,radial,exp1
-0.3028294090909091,0.2873641704497157,0.362169,-0.77925,1.141419,-0.32486950000000003,0.40493124999999996,0.25111084607815376,-0.4409984630110193,0.0,0.13636363636363635,0.8636363636363636,3,0.0,0,0.0,0.37181958325668596,0.0,0.0,0.3496229297290755,gordon,9807_4100__angular__exp2,angular,exp2
0.01241877272727273,0.21664943560001035,0.435427,-0.296605,0.732032,0.0595655,0.36095625,-0.021186064814888498,-1.0410308277947717,0.0,0.6363636363636364,0.36363636363636365,5,0.3056560248650241,0,0.0,0.2815866445675794,0.0,0.0,0.4099279343515315,gordon,9807_4100__angular__exp3,angular,exp3
0.1856778181818182,0.27622801127892194,0.560474,-0.476029,1.036503,0.1886215,0.449717,-0.5105144465714094,-0.4125198837829869,0.13636363636363635,0.6818181818181818,0.3181818181818182,5,0.3061862178478207,4,0.19047619047619047,0.15604953962028195,1.5,2.0,0.41075292916825945,gordon,9807_4100__radial__exp3,radial,exp3
0.12634927272727275,0.2159678642816988,0.464167,-0.294028,0.758195,0.13037749999999998,0.30885074999999995,-0.2827470471664918,-0.8243774899816407,0.0,0.6818181818181818,0.3181818181818182,4,0.25712973861321986,0,0.0,0.3603907523603298,0.0,0.0,0.4064222867555707,gordon,9807_4100__angular__exp4,angular,exp4
-0.6688375454545454,0.3299899534735835,0.073216,-0.968612,1.041828,-0.8210095,0.32416225,1.1912157771591525,0.0276689314638916,0.0,0.09090909090909091,0.9090909090909091,3,0.19999999999996,0,0.0,0.4452182871962371,0.0,0.0,0.6893200797652955,gordon,9897_3649__angular__exp1,angular,exp1
-0.7386125,0.41899917925499225,0.545967,-0.988098,1.534065,-0.918264,0.10111274999999997,2.280491247383189,3.8875352633313724,0.045454545454545456,0.09090909090909091,0.9090909090909091,2,0.0,2,0.09523809523809523,0.7614225389537055,1.0,1.0,0.8414363181382287,gordon,9897_3649__angular__exp2,angular,exp2
0.05113827272727274,0.3142396056113539,0.492359,-0.442662,0.935021,0.06517,0.53779975,-0.11221100568333477,-1.3213319935648082,0.0,0.5909090909090909,0.4090909090909091,3,0.2857142857142449,0,0.0,0.42810493485667367,0.0,0.0,0.46873868194262,gordon,9897_3649__angular__exp3,angular,exp3
0.10151776190476193,0.32878089787241366,0.857682,-0.361352,1.2190340000000002,0.13831,0.418833,0.7433495075714485,0.1565382717150845,0.09523809523809523,0.6190476190476191,0.38095238095238093,3,0.33333333333327775,2,0.1,0.2594925112842491,2.0,2.0,0.423584473083491,gordon,9897_3649__radial__exp3,radial,exp3
-0.16152386363636365,0.3359569106081336,0.337131,-0.970418,1.307549,-0.10796649999999999,0.403844,-0.7342990085505212,-0.10279604041001367,0.0,0.36363636363636365,0.6363636363636364,4,0.38527587518548884,0,0.0,0.6912615721006308,0.0,0.0,0.4555471826225933,gordon,9897_3649__angular__exp4,angular,exp4
0.4617466380527685,0.5533150091955664,0.998759,-0.984392,1.9831509999999999,0.694808,0.8179645,-0.9663165745994711,-0.28407200574684177,0.6023782980304719,0.782608695652174,0.21739130434782608,71,0.39406227888105894,91,0.03382899628252788,0.9912352629281813,35.23913043478261,160.0,0.7111331394424175,andersen,6LMX3S_V8JHGB__HR__group1,HR,group1
0.34659449587750296,0.6149527525429516,0.993999,-0.98491,1.9789089999999998,0.58509,1.033435,-0.7103642296299623,-0.887232534220582,0.541813898704358,0.7059285433843737,0.2940714566156262,66,0.42068620576485727,89,0.034956794972505895,0.9922895207082687,30.666666666666668,122.0,0.7109640935292855,andersen,0DHTFH_608QSM__HR__group2,HR,group2
0.22461330192383194,0.6562552348198323,0.990051,-0.984112,1.974163,0.43251,1.2238085,-0.44859215454351636,-1.2927310827517628,0.4731056144483706,0.6270121711817825,0.3729878288182175,65,0.39595238120246123,90,0.03534956794972506,0.9920978091290488,26.77777777777778,88.0,0.7021451510016631,andersen,0DHTFH_CO68KQ__HR__group2,HR,group2
0.3618825021594032,0.5955098165185903,0.994794,-0.983996,1.97879,0.587812,0.9460715000000001,-0.8157346385095466,-0.6558470990184344,0.5496662740478995,0.7255594817432274,0.2744405182567727,66,0.3682105828747597,99,0.038884524744697564,0.9921662880972341,28.0,92.0,0.7093876193212663,andersen,0DHTFH_FW9U79__HR__group2,HR,group2
0.26505830109557993,0.6353050199526408,0.996407,-0.973793,1.9702000000000002,0.450116,1.1483585,-0.5057465071565602,-1.1693816994643425,0.48394408764639213,0.6535700793350964,0.3464299206649037,69,0.3958133521581178,107,0.040438397581254726,0.9909966818087373,23.72222222222222,75.0,0.6847132016805254,andersen,608QSM_CO68KQ__HR__group2,HR,group2
0.2287527283717416,0.649541666520323,0.994585,-0.978906,1.973491,0.430718,1.2452329999999998,-0.42500758411428924,-1.3284787010115036,0.47487721949376654,0.6275028333962976,0.3724971666037023,71,0.35782341759855163,89,0.03363567649281935,0.9926605667952273,27.933333333333334,121.0,0.7048858786771237,andersen,608QSM_FW9U79__HR__group2,HR,group2
0.22406729467321496,0.6486460463113228,0.994347,-0.965412,1.959759,0.410834,1.1993960000000001,-0.4448790222552088,-1.2779682646351116,0.4665659236871931,0.64072534945221,0.35927465054778995,71,0.4355970632502899,90,0.034013605442176874,0.9922846964853508,26.847826086956523,130.0,0.6942693189198189,andersen,CO68KQ_FW9U79__HR__group2,HR,group2
0.022056711187214587,0.6258550486333926,0.976668,-0.978443,1.955111,0.010192,1.1834395,-0.01271063570143975,-1.3964466947601963,0.2990867579908676,0.5060882800608828,0.4939117199391172,75,0.44450872276435555,81,0.030833650551960412,0.9915897010989926,19.170731707317074,72.0,0.622384921643528,andersen,7FUT3N_EHN3V7__HR__group3,HR,group3
0.23874727839555204,0.6482971389485714,0.99845,-0.991102,1.989552,0.411952,1.1920395,-0.5018356140540233,-1.1753378867190771,0.45949166004765685,0.653296266878475,0.346703733121525,69,0.36773883536874913,93,0.03694874851013111,0.9927541410523378,24.617021276595743,99.0,0.6847231322132594,andersen,7FUT3N_IEKQE2__HR__group3,HR,group3
0.061106279189833176,0.6384471749837203,0.989476,-0.983508,1.972984,0.122764,1.2431467499999997,-0.11732448190981434,-1.4500199650803582,0.3431294678316124,0.5416997617156474,0.4583002382843527,74,0.363591653971254,84,0.033373063170441,0.9925232443104951,20.571428571428573,63.0,0.6525436171763627,andersen,EHN3V7_IEKQE2__HR__group3,HR,group3
0.283820376882662,0.6177747626176886,0.994092,-0.971011,1.965103,0.508555,1.108432,-0.5765369098509078,-1.1151953198832676,0.502276707530648,0.6763572679509632,0.32364273204903676,78,0.37835254961393056,96,0.03363700070077085,0.9923328592710824,29.26530612244898,92.0,0.7057322686468366,andersen,UEJ48H_WJLEAJ__HR__group4,HR,group4
0.3253087996953542,0.5835324244070698,0.98998,-0.98547,1.97545,0.529358,0.9698844999999999,-0.683340191136507,-0.8667432899939516,0.5148514851485149,0.7022086824067022,0.2977913175932978,72,0.41121859979475206,100,0.0380952380952381,0.9908970133455678,27.04,117.0,0.6865548873769503,andersen,27ZT8H_GF9E95__HR__group5,HR,group5
0.23302674067022086,0.6462715901909087,0.998513,-0.990237,1.98875,0.46018000000000003,1.171397,-0.5251250602608063,-1.1852856032263557,0.4767707539984768,0.6523229246001523,0.34767707539984766,69,0.42713845851415827,98,0.037333333333333336,0.9922930582319538,25.551020408163264,110.0,0.7016797969279713,andersen,27ZT8H_TH2BCO__HR__group5,HR,group5
0.18200860357958876,0.6359303330187792,0.995068,-0.979423,1.974491,0.283704,1.2007902499999998,-0.3129446245372408,-1.341453701038038,0.4146991622239147,0.6089108910891089,0.3910891089108911,67,0.446074523773787,87,0.03314285714285714,0.9929753765897206,24.75,93.0,0.6606190879460333,andersen,GF9E95_TH2BCO__HR__group5,HR,group5
0.231452206705969,0.6246203053993061,0.994104,-0.989757,1.983861,0.39115849999999996,1.1117675,-0.4534775404760559,-1.181278868437845,0.45357406042741344,0.6385408990420044,0.3614591009579956,75,0.3793864612067615,103,0.03796535200884629,0.9921170221707868,23.673076923076923,60.0,0.6616984192912646,andersen,14GWJ4_AKU036__HR__group6,HR,group6
0.19762712380250555,0.6182078836010496,0.994477,-0.98465,1.979127,0.302088,1.1102815000000001,-0.353135875399906,-1.2222317267120941,0.41046425939572584,0.6171702284450995,0.3828297715549005,70,0.43527615757732646,91,0.033542204201990417,0.9926785613078781,24.217391304347824,108.0,0.6314705603425764,andersen,14GWJ4_GOHZFZ__HR__group6,HR,group6
0.3134823791451732,0.5880015425475336,0.993078,-0.961736,1.954814,0.4898985,1.0192165,-0.6022628294077234,-0.9638378780013146,0.4952100221075903,0.6897568165070007,0.3102431834929993,77,0.37418065991230215,98,0.03612237375598968,0.9916576492435557,27.428571428571427,89.0,0.6681698047313949,andersen,14GWJ4_LVDJQR__HR__group6,HR,group6
0.375666,0.5640954006393722,0.994979,-0.91967,1.9146489999999998,0.5545665,0.94290875,-0.7272708935562864,-0.7161571971576639,0.5324244657332351,0.7277081798084009,0.27229182019159914,79,0.37410908709980867,92,0.03391079985256174,0.991438266265777,30.74468085106383,202.0,0.6684800951510126,andersen,AKU036_GOHZFZ__HR__group6,HR,group6
0.0950436274871039,0.6689940925989221,0.996881,-0.987952,1.984833,0.18377749999999998,1.3306502500000001,-0.1680566206205593,-1.4853473541167537,0.3765659543109801,0.5545320560058954,0.44546794399410466,76,0.430013072596101,87,0.03206782159970512,0.9929046355018434,23.227272727272727,72.0,0.6773790582159308,andersen,AKU036_LVDJQR__HR__group6,HR,group6
0.1831525913780398,0.6175082338819112,0.991225,-0.992335,1.98356,0.29335,1.1585994999999998,-0.3137784581223755,-1.3219952210689736,0.4089904200442152,0.6068533529845247,0.3931466470154753,75,0.4378690754210979,95,0.03501658680427571,0.9917402879465252,23.125,95.0,0.6533281334330121,andersen,GOHZFZ_LVDJQR__HR__group6,HR,group6
0.35334287219152855,0.5917566836926337,0.995639,-0.920022,1.915661,0.556516,1.0261655,-0.6325498950082107,-1.0081278231142277,0.5289134438305709,0.7046040515653775,0.29539594843462247,74,0.3559246112294134,91,0.03352984524686809,0.9913813876785325,31.217391304347824,153.0,0.7017469762511999,andersen,580O6V_7FHZ2F__HR__group7,HR,group7
0.27252113446249565,0.6139725477593935,0.99466,-0.993355,1.9880149999999999,0.450998,1.038999,-0.5923507679681002,-1.0009501175629754,0.4773591427583823,0.682336674732112,0.317663325267888,82,0.41236126313647364,110,0.03803596127247579,0.9912915712843273,25.10909090909091,86.0,0.674709535930689,andersen,WTUN1I_YSZBB3__HR__group8,HR,group8
0.23195199778551093,0.5996318166138382,0.994543,-0.999149,1.9936919999999998,0.36393,1.087236,-0.4444527575622592,-1.1331263074817892,0.4318253717178108,0.6434672571970895,0.3565327428029105,96,0.3588763618476679,118,0.03734177215189873,0.9909035675633255,23.135593220338983,118.0,0.6404893550498668,andersen,2Q2PPI_OV0B9J__HR__group9,HR,group9
0.2614343700035373,0.5973641680041057,0.997473,-0.96186,1.959333,0.425339,1.0584289999999998,-0.5047223768336616,-1.1077560633378287,0.45242306331800497,0.6628935267067563,0.3371064732932437,81,0.3735636249464963,104,0.03680113234253362,0.9915870963471783,24.132075471698112,67.0,0.6619837342002569,andersen,0CS4TH_C7W5VN__HR__group10,HR,group10
0.3358841580656803,0.5988688270932597,0.997847,-0.988339,1.986186,0.512212,0.960073,-0.7105835733839183,-0.7940271548502307,0.5059545290508841,0.7192349332370985,0.28076506676290147,78,0.46618173586633604,96,0.034657039711191336,0.9917354306116564,28.612244897959183,179.0,0.6812023363967192,andersen,EECO5J_MI30SB__HR__group11,HR,group11
0.16243183621285417,0.6444796550533939,0.986744,-0.987913,1.974657,0.3150675,1.2048195000000002,-0.37292240415809036,-1.3128509162226718,0.41948859709744296,0.6126468555632343,0.3873531444367657,79,0.3949177375534358,108,0.03733148980297269,0.9911437073816746,22.48148148148148,96.0,0.673901884656395,andersen,5F3GGP_AUUWIB__HR__group12,HR,group12
0.3620617021423635,0.5542698564254108,0.993883,-0.979048,1.972931,0.5363685,0.8968832499999999,-0.7310071873165572,-0.7205857667180919,0.5172771250863857,0.7349689011748445,0.2650310988251555,86,0.41922573229230614,111,0.038368475630833045,0.9892866952602344,26.732142857142858,81.0,0.6722247036613574,andersen,5F3GGP_VQJHEQ__HR__group12,HR,group12
0.17761074498963372,0.6440536264100705,0.993053,-0.978966,1.972019,0.3134935,1.24834075,-0.3295890891989785,-1.3757500432752314,0.42467173462335867,0.6078092605390463,0.3921907394609537,81,0.44225194769488513,97,0.0335292084341514,0.9922377819972885,25.081632653061224,85.0,0.6812424013934603,andersen,5F3GGP_Y4MK19__HR__group12,HR,group12
0.2389437219343696,0.6132457711384046,0.997068,-0.98206,1.979128,0.404056,1.076886,-0.5172783688192406,-1.1085535848964057,0.4535405872193437,0.6639032815198618,0.33609671848013817,87,0.33215800900676085,117,0.040428472702142365,0.9911733432201117,22.25423728813559,76.0,0.669061792250758,andersen,AUUWIB_VQJHEQ__HR__group12,HR,group12
0.18064712780656303,0.6299250110346416,0.993876,-0.980501,1.974377,0.291414,1.1569690000000001,-0.3570977654294568,-1.2932498454579697,0.41865284974093264,0.6093264248704663,0.39067357512953366,86,0.41225172234240787,94,0.03248099516240498,0.992773828845072,25.78723404255319,91.0,0.659420733268649,andersen,AUUWIB_Y4MK19__HR__group12,HR,group12
0.1580270262521589,0.6136754681090202,0.994447,-0.990351,1.984798,0.249688,1.125723,-0.2762096284067889,-1.3094540297785817,0.3913644214162349,0.5941278065630398,0.4058721934369603,80,0.4034261907498072,98,0.033863165169315826,0.9914487191595517,22.66,73.0,0.6354833908545536,andersen,VQJHEQ_Y4MK19__HR__group12,HR,group12
0.24122505660377358,0.6310790300396774,0.995399,-0.960553,1.955952,0.419198,1.151127,-0.4831535714860647,-1.2129828940451877,0.46586620926243566,0.6504288164665523,0.3495711835334477,84,0.4117128234935355,99,0.03397391901166781,0.9926980933580175,27.16,127.0,0.6890295399350019,andersen,7EQRQP_EFT0PL__HR__group14,HR,group14
0.26642413100587625,0.5804369242886439,0.988864,-0.979795,1.968659,0.41396,1.001001,-0.54780885118988,-1.015896061149721,0.46076736951261665,0.6761147597649498,0.3238852402350501,86,0.4168231963061873,104,0.035961272475795295,0.9911848396950786,25.150943396226417,87.0,0.6542282831037222,andersen,7EQRQP_TFWRQ7__HR__group14,HR,group14
0.4181152806774975,0.552197516491272,0.995576,-0.944304,1.93988,0.63864,0.794038,-0.9146525150216742,-0.4624380859288464,0.5838230210853785,0.7687521603871413,0.23124783961285864,81,0.39070757871579487,107,0.03699861687413555,0.9910818001773549,31.27777777777778,116.0,0.7228741054432667,andersen,EFT0PL_TFWRQ7__HR__group14,HR,group14
0.2628052883178966,0.6128587561895983,0.997257,-0.96866,1.965917,0.43508,1.1101755,-0.4938556290056678,-1.1673101039253528,0.47057066029279954,0.6608903495667762,0.3391096504332238,95,0.42353568307827166,132,0.03945008965929468,0.9910742016924242,23.507462686567163,123.0,0.6777301324933119,andersen,J4TE29_N8VWBX__HR__group15,HR,group15
0.31007329309820614,0.5670300170139023,0.994471,-0.974863,1.969334,0.479077,0.947979,-0.6285360315410387,-0.9064704377819717,0.4898145332927942,0.705685618729097,0.29431438127090304,99,0.46242751697527656,123,0.037408759124087594,0.9909448027295841,25.983870967741936,77.0,0.6654955643286412,andersen,26ABUX_G5YMF2__HR__group16,HR,group16
0.2810398251748252,0.6145618488463032,0.99727,-0.99628,1.99355,0.438223,1.101128,-0.5102753953874193,-1.1107539819369643,0.47400425661295226,0.6731529340224992,0.32684706597750074,92,0.3743089228645991,108,0.032846715328467155,0.9915850428398075,28.345454545454544,94.0,0.6661685234516465,andersen,26ABUX_TLZ91Q__HR__group16,HR,group16
0.1735164451200973,0.6232611854373212,0.99335,-0.988079,1.9814289999999999,0.286894,1.162428,-0.3325913979194965,-1.2854260650792442,0.40468227424749165,0.6117360899969596,0.38826391000304045,88,0.4321836475946838,109,0.03315085158150852,0.9924339833166096,24.2,77.0,0.6467178493977876,andersen,26ABUX_XJ4X9Y__HR__group16,HR,group16
0.2576776368083155,0.5130933977749839,0.994855,-0.95706,1.951915,0.032557,0.7821585,-0.205082209190271,-0.8170318254642281,0.37572607765209415,0.8043411800672577,0.19565881993274228,66,0.37660810678839923,71,0.021712538226299694,0.9931479722443259,34.138888888888886,77.0,0.4767571108939033,andersen,26ABUX_ZIMYGX__HR__group16,HR,group16
0.43713634265734264,0.5441443535524125,0.996108,-0.954382,1.9504899999999998,0.661757,0.793135,-0.9702586107259296,-0.29891192269338207,0.5922772879294619,0.7725752508361204,0.22742474916387959,87,0.43460686353506595,120,0.0364963503649635,0.9903981018329561,31.934426229508198,199.0,0.7180199007193292,andersen,G5YMF2_TLZ91Q__HR__group16,HR,group16
0.23810598935846763,0.6155844334197073,0.996427,-0.987662,1.984089,0.386078,1.124327,-0.44396792983540395,-1.1862857830671372,0.44998479781088474,0.6500456065673457,0.3499543934326543,96,0.40658073345755136,115,0.03497566909975669,0.9917743552743671,25.517241379310345,150.0,0.6590356412780742,andersen,G5YMF2_XJ4X9Y__HR__group16,HR,group16
0.268200048914705,0.5003658997445519,0.993481,-0.971542,1.965023,0.103324,0.7594395,-0.26728147116394796,-0.7037122405060057,0.379700397431978,0.7792723937633751,0.22072760623662488,68,0.34342251241309946,83,0.025382262996941896,0.9926615916764951,29.571428571428573,122.0,0.46603732176642276,andersen,G5YMF2_ZIMYGX__HR__group16,HR,group16
0.280193607479477,0.628537554355299,0.998278,-0.991233,1.989511,0.468685,1.082569,-0.5862717465230038,-1.0467006409983803,0.48920644572818484,0.6737610215871085,0.32623897841289146,93,0.41328083532791543,119,0.03619221411192214,0.9924062968984828,26.816666666666666,140.0,0.686957102753548,andersen,TLZ91Q_XJ4X9Y__HR__group16,HR,group16
0.28811298318557016,0.5113730518070313,0.995376,-0.979055,1.974431,0.128376,0.805932,-0.2706667936760332,-0.7724347364264879,0.40629776826658515,0.7664322837052889,0.2335677162947111,64,0.4024349930272811,67,0.020489296636085626,0.9936182397660634,39.088235294117645,160.0,0.48121379131522546,andersen,TLZ91Q_ZIMYGX__HR__group16,HR,group16
0.2917444778355243,0.49974724404221726,0.996696,-0.96976,1.966456,0.189734,0.7978810000000001,-0.2528168053203341,-0.8225500028731036,0.3955976765515133,0.7511464383980434,0.2488535616019566,62,0.40368283274315464,84,0.025688073394495414,0.9921993859687671,30.80952380952381,108.0,0.48798929465763147,andersen,XJ4X9Y_ZIMYGX__HR__group16,HR,group16
