id,true_shape,shape_above_ratio,shape_n_episodes,shape_n_peaks,shape_peak_asymmetry,shape_wcc_std,shape_wcc_range,shape_frac_negative,shape_autocorr_lag1,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient,synchrony_entropy,onset_latency,rise_time,recovery_time
pce08__EDA__trials_concat,,0.12749762131303521,12.0,6.0,1.5490196078431373,0.47939967199574796,1.9449070000000002,0.4538534728829686,0.989123596638334,0.003290945765937204,0.893097,14.555555555555555,1.027592768791627,0.48247326129108137,4.080480659055611,1051.0,1.0,30.0
pce08__RESP__rest1,,0.013245033112582781,2.0,1.0,1.3461538461538463,0.31995150113849186,1.079912,0.5960264900662252,0.9908620741691941,-0.06629074172185434,0.5085519999999999,,0.0,0.6004325762331648,4.0861068142442605,151.0,151.0,1.0
pce08__RESP__trials_concat,,0.0,0.0,0.0,,0.12993284202629302,0.850313,0.5642245480494766,0.9264406852034978,-0.015196450047573742,0.4075583333333333,,0.0,0.3190154673762953,3.6454614081068897,1051.0,1051.0,1051.0
pce09__ECG__rest1,,0.0,0.0,0.0,,0.20515163517497356,0.800265,0.5384615384615384,0.9488087763307309,-0.0013510615384615399,0.39254833333333333,,0.0,0.5107304567128992,4.09290878018881,130.0,130.0,130.0
pce09__ECG__trials_concat,,0.14081826831588962,16.0,10.0,1.0714285714285714,0.3469824096676941,1.651776,0.3644148430066603,0.9688195315960044,0.09643157849666983,0.8346966666666666,16.22222222222222,1.027592768791627,0.40734660415960455,4.037695303185141,1051.0,767.0,19.0
pce09__EDA__rest1,,0.0,0.0,0.0,,0.26876486993273746,1.217463,0.6946564885496184,0.9710226189445574,-0.10778197709923663,0.227074,,0.0,0.605113764083041,3.613578253587958,131.0,131.0,131.0
pce09__EDA__trials_concat,,0.44719314938154137,20.0,11.0,1.3535353535353536,0.44282101770953364,1.898644,0.2017126546146527,0.9867374238967968,0.3819224690770694,0.9965563333333333,29.733333333333334,1.7126546146527117,0.482962984377775,3.806618079631099,800.0,168.0,40.0
pce09__RESP__rest1,,0.0,0.0,0.0,,0.09331863914926422,0.392761,0.2595419847328244,0.8897645611615762,0.06835164885496184,0.23394866666666664,,0.0,0.4562177320144839,4.13707724232057,131.0,131.0,131.0
pce09__RESP__trials_concat,,0.0009514747859181732,1.0,1.0,0.5384615384615384,0.2050836992839412,1.1773099999999999,0.489058039961941,0.9713415521578539,0.005313721217887727,0.4889726666666666,,0.0,0.3519891910287359,3.8182147690100505,1051.0,1051.0,1051.0
pce10__ECG__rest1,,0.026490066225165563,1.0,1.0,0.8947368421052632,0.2715321325870861,1.1735,0.5033112582781457,0.974992559708823,-0.0166217417218543,0.599532,4.0,0.794701986754967,0.42978453195030797,3.902244788882353,151.0,151.0,2.0
pce10__ECG__trials_concat,,0.15413891531874405,10.0,9.0,0.4444444444444444,0.3202734185873147,1.486468,0.45575642245480497,0.9665170685006522,0.11114059562321597,0.8492963333333332,19.142857142857142,0.7992388201712655,0.5033019504699416,3.976412771142943,1051.0,131.0,26.0
pce10__EDA__rest1,,0.0,0.0,0.0,,0.3253245782658361,1.2549670000000002,0.6357615894039735,0.9704273529466704,-0.10259205960264899,0.4687653333333333,,0.0,0.510055940422177,4.090073581858113,151.0,151.0,151.0
pce10__EDA__trials_concat,,0.5242626070409134,16.0,14.0,2.8666666666666667,0.4649264940279606,1.70173,0.2521408182683159,0.988416497389837,0.41618999714557564,0.9923836666666666,42.30769230769231,1.4843006660323501,0.6459246759729264,3.9720228547341625,566.0,5.0,20.0
pce10__RESP__rest1,,0.12582781456953643,1.0,2.0,0.24,0.23927121293272688,0.9878009999999999,0.33112582781456956,0.9780343186510769,0.1329139205298013,0.667345,20.0,0.3973509933774835,0.5805533265378965,3.876429824261084,151.0,4.0,10.0
pce10__RESP__trials_concat,,0.014272121788772598,3.0,2.0,1.6470588235294117,0.21071192533101427,1.205743,0.5004757373929591,0.9702563410187242,0.021001207421503326,0.6420436666666667,8.0,0.11417697431018078,0.34329506263296683,3.829518812994155,1051.0,836.0,5.0
pce11__ECG__rest1,,0.11920529801324503,2.0,3.0,1.0434782608695652,0.353479618479765,1.2780019999999999,0.5761589403973509,0.985458667489742,0.011541205298013273,0.7075403333333333,8.5,1.1920529801324504,0.555900160604159,4.138272200333056,38.0,6.0,6.0
pce11__ECG__trials_concat,,0.16460513796384396,17.0,9.0,0.03225806451612903,0.3559308681137425,1.609734,0.34157944814462415,0.9638519608694168,0.13212365746907706,0.8608706666666666,11.785714285714286,1.598477640342531,0.4209505930277164,4.083451256891568,1051.0,135.0,4.0
pce11__EDA__rest1,,0.0,0.0,0.0,,0.21100918767035023,0.9320280000000001,0.8013245033112583,0.9624809623794057,-0.160207059602649,0.3163573333333333,,0.0,0.3488045923973084,3.928984175995584,151.0,151.0,151.0
pce11__EDA__trials_concat,,0.14367269267364416,9.0,6.0,0.5714285714285714,0.576531572724763,1.9769450000000002,0.69267364414843,0.9912424597529172,-0.2311063453853473,0.9983213333333332,29.0,0.570884871550904,0.5945679355401264,4.093506753420133,311.0,306.0,35.0
pce11__RESP__rest1,,0.1986754966887417,1.0,3.0,2.5,0.3521129587150244,1.269925,0.5960264900662252,0.9912048208629917,0.06660527814569538,0.8665049999999999,25.0,0.794701986754967,0.7243363238332087,3.9288804552574206,19.0,10.0,4.0
pce11__RESP__trials_concat,,0.05137963843958135,9.0,7.0,0.7727272727272727,0.30843780799584397,1.447882,0.5575642245480494,0.9880470256135632,-0.0312857764034253,0.6681903333333333,8.6,0.570884871550904,0.4406203329855903,4.0747561285322655,1051.0,124.0,5.0
pce12__ECG__rest1,,0.06622516556291391,3.0,1.0,4.0,0.17488386554514504,0.9043180000000001,0.10596026490066225,0.9410555631651404,0.1843767284768212,0.652118,4.0,1.1920529801324504,0.41735526660517264,3.754647781910315,151.0,63.0,3.0
pce12__ECG__trials_concat,,0.1065651760228354,15.0,8.0,1.4,0.33157527604362097,1.579285,0.48525214081826834,0.966525743217031,0.035827540437678405,0.7778813333333332,12.5,1.141769743101808,0.4424270436721315,4.037128781187895,1051.0,24.0,3.0
